Stkcd,Accper,total_assets,tptal_liability,total_equity,operating profit
30,2015/6/30,7330500516,2402813321,4927687195,320775667
30,2015/12/31,8085376947,2780460894,5304916053,522774486.3
30,2016/6/30,8468421367,2996172484,5472248883,373193446.9
30,2016/12/31,9072987294,3298031506,5774955787,649343102.8
30,2017/6/30,9394929086,3446278184,5948650902,483762434.7
30,2017/12/31,10364348492,4039925411,6324423081,921342798
30,2018/6/30,11260881275,4592550301,6668330974,510890231.8
31,2014/6/30,43751631416,34294447134,9457184282,375385177.7
31,2014/12/31,46311473256,35646435466,10665037790,1397137468
31,2015/6/30,49554058119,38858959501,10695098619,342668559.3
31,2015/12/31,55321650993,44235748544,11085902449,1386202707
31,2016/6/30,59474185120,48460842516,11013342604,742679544.3
31,2016/12/31,61276950060,49989420885,11287529175,2224046500
31,2017/6/30,64378704436,53400903696,10977800740,677332990.4
31,2017/12/31,75751475787,64006886623,11744589164,2391449717
31,2018/6/30,85401535224,73123242226,12278292998,1258183163
32,2014/6/30,1410190940,389598635.5,1020592305,-9618060.3
32,2014/12/31,2766920133,1274829323,1492090810,94041436.76
32,2015/6/30,1290975140,278973486.8,1012001653,-5088239.41
32,2015/12/31,2125737188,617238112.6,1508499075,30992378.34
32,2016/6/30,1962003497,425514259.1,1536489238,37868379.95
32,2016/12/31,1955415047,405787882.9,1549627164,54775293.87
32,2017/6/30,2008326633,452076558.7,1556250074,31028853.88
32,2017/12/31,1927338866,358574218.6,1568764647,32147754.93
32,2018/6/30,2104090737,636190244.2,1467900492,72150973.52
33,2014/6/30,508761484.8,252363540.6,256397944.1,-9955031.64
33,2014/12/31,467105430.4,659101264,-191995833.6,-88629793.11
33,2015/6/30,416832576.8,605016901.1,-188184324.2,-11696929.98
33,2015/12/31,424383658.2,414767779.6,9615878.55,14271163.37
33,2016/6/30,339152605.9,327522550.6,11630055.27,2327697.81
33,2016/12/31,319193188.3,296377054.6,22816133.74,7089837.22
34,2014/6/30,453226687.5,297571084,155655603.5,50997529.01
34,2014/12/31,461668045.3,296031430.4,165636614.9,61961992.33
34,2015/6/30,446376584.4,257967399,188409185.5,-8248536.42
34,2015/12/31,448008298.7,261008439.8,186999858.9,-7069084.04
34,2016/6/30,16291523364,13805873441,2485649923,260740184.7
34,2016/12/31,17037169576,14386496361,2650673215,460956004.4
34,2017/6/30,18297093046,15441067726,2856025320,257697595.5
34,2017/12/31,24273190388,20915357747,3357832641,490943561.8
34,2018/6/30,25454693247,21855802978,3598890269,317971275.1
35,2014/6/30,2232166064,1278053058,954113006.7,61941476.02
35,2014/12/31,3272286231,1650104044,1622182187,186610207.4
35,2015/6/30,3979172801,2290307408,1688865393,72584265.04
35,2015/12/31,4399024386,2548646970,1850377417,241395914
35,2016/6/30,4563721932,2641368982,1922352950,66164298.17
35,2016/12/31,5998494257,3936032536,2062461721,194728863.4
35,2017/6/30,6625597025,4489752644,2135844381,98378755.83
35,2017/12/31,8130264343,5081881799,3048382544,289572355.1
35,2018/6/30,8271932476,5130495534,3141436942,127942573.9
36,2014/6/30,3809268941,1313117587,2496151354,9523960.47
36,2014/12/31,4568926337,2075581408,2493344929,56545324.2
36,2015/6/30,5434456956,2913490385,2520966571,-14817278.12
36,2015/12/31,6463740838,3780738598,2683002240,120664489.8
36,2016/6/30,8752398507,5650552853,3101845655,578523340.2
36,2016/12/31,9725476322,5700766173,4024710149,1790366414
36,2017/6/30,8253772414,3504558529,4749213886,1191343461
36,2017/12/31,8718661474,3635999091,5082662383,1610033339
36,2018/6/30,10048152623,5130607549,4917545074,541245841.3
37,2014/6/30,5549757953,3851449379,1698308574,-385384282.5
37,2014/12/31,5056415825,3678268635,1378147191,-929066174.4
37,2015/6/30,5148274872,3898856749,1249418124,-261981338.7
37,2015/12/31,4579853736,4030942931,548910805.3,-1229564020
37,2016/6/30,4597811158,4128368783,469442374.8,-89993852.47
37,2016/12/31,4363703614,2339734137,2023969477,1473400587
37,2017/6/30,3043070711,1049813821,1993256890,-29625877.61
37,2017/12/31,2883804393,859457838.6,2024346554,9083601.28
37,2018/6/30,3264506507,1211330190,2053176317,37776886.1
38,2014/6/30,676032981.6,486453590.6,189579391,-9679329.41
38,2014/12/31,683292590.4,536503218.5,146789371.9,-50809705.84
38,2015/6/30,631867403.5,485903260,145964143.5,3614200.98
38,2015/12/31,744777535.5,589925801.6,154851733.9,19886562.53
38,2016/6/30,6534052789,1598777574,4935275215,91234479.8
38,2016/12/31,6393623559,1279704305,5113919254,271450891.4
38,2017/6/30,6093742304,849261431.8,5244480872,240869792.8
38,2017/12/31,5771928314,375061344.8,5396866970,446581297.4
38,2018/6/30,5677664443,376532494.4,5301131949,143823012.9
39,2014/6/30,82494196000,57473080000,25021116000,1254810000
